[INFO] Oct Tue 22 01:26:57 2024 | Logger started successfully.
[INFO] Oct Tue 22 01:27:03 2024 | Start logging.
[INFO] Oct Tue 22 01:27:03 2024 | Starting PY OS Improved Boot manager.
[INFO] Oct Tue 22 01:27:05 2024 | Starting main operating system...
[INFO] Oct Tue 22 01:27:10 2024 | Welcome to PY OS Improved!
[INFO] Oct Tue 22 01:27:22 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:23 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:23 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:23 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:23 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:24 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:24 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:24 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:24 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:24 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:25 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:25 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:25 2024 | [Command] tty1/lsh: 
[INFO] Oct Tue 22 01:27:25 2024 | [Command] tty1/lsh: 1
[ERROR] Oct Tue 22 01:27:25 2024 | tty1/lsh: 1: Command not found!
[INFO] Oct Tue 22 01:27:27 2024 | [Command] tty1/lsh: 1
[ERROR] Oct Tue 22 01:27:27 2024 | tty1/lsh: 1: Command not found!
[INFO] Oct Tue 22 01:27:30 2024 | [Command] tty1/lsh: crash
[INFO] Oct Tue 22 01:27:32 2024 | [Command] tty1/lsh: crash
[INFO] Oct Tue 22 01:27:51 2024 | [Command] tty1/lsh: crash
